K_s,psi,theta_d,K_ex,f_sat,S_max,tau_drain,t_lag_hr,uh_stretch,n,V_soil,alpha_soil,Q_threshold,gamma,lambda_sat,baseflow_Q,success,NSE_Q,NSE_C,KGE_Q,KGE_C,J,working_ensemble
1.1031460593729803e-07,0.09722577213942561,0.27717465404323555,0.00024251024842496423,0.2529044542875347,0.02092754924036024,20376.694654990595,1.0235214216990198,2.829823407942966,0.06389777077069447,0.0702409139563112,0.9692187155314386,0.8882255245462856,4.364738108701049,0.34555148183735096,0.22837218660050124,True,0.6132465510841318,-17.109564007387018,0.7932811829316354,-1.1967090566793779,-25.051099459996394,True
6.722752659080137e-07,0.09333509082464189,0.17303367774490375,6.831972932965474e-05,0.18880801262628505,0.056406004274535786,19963.719453737995,1.953810480584758,3.943158447990699,0.061676679837318865,0.5934236839527679,0.7586555955966909,0.3308316811390648,4.12867219453133,0.6437419054663417,0.15326379872263457,True,0.8728960720060545,-0.1584250202414741,0.8621719408414158,0.32533636248470577,0.6352585416438433,False
2.1801624790040866e-07,0.38736043059099234,0.12568689743522962,0.00016322778088112026,0.25881502982107674,0.024179779286863358,54298.625296225335,0.6718536546701692,5.237409794995087,0.05834743045367562,1.4685860318986184,0.9644792329099547,1.0803346184987064,2.6953844918645187,0.5612438845400067,0.09350689872443133,True,0.7933742174054289,-2.0074901099834923,0.7881584291144582,-0.3681150836731548,-2.2178609475698097,False
4.2589755087716924e-07,0.13281733296511097,0.21153123335538465,1.297920198613784e-07,0.07122860015849589,0.03955813614761541,9587.424255794263,1.3836395558469223,7.29743215920947,0.03629656636421917,0.054993618041857456,0.8283528944200236,0.8240845041038308,4.064641021960343,0.4024469134804594,0.1143419856225587,True,0.4446187974104868,-35.64603558815383,0.4699350769727101,-2.8238957914538156,-53.024434584820256,False
9.875137849640166e-07,0.13165376711541257,0.19533269417608562,3.627073808010403e-06,0.1597953023486467,0.07228739038791532,13149.407858917715,1.5688206517902383,3.445303393585352,0.047606939069017536,0.4298761242275475,0.9022240623854324,1.167518049067568,2.65620297957047,0.6671614165290033,0.1134866873294412,True,0.5767269141143341,-2.8865046543093444,0.35175889686214123,-0.8890944840294459,-3.753030067349682,True
9.399753050432663e-07,0.340220433118021,0.12740087748853135,1.1692123877528435e-07,0.14156146709286688,0.02281891734023995,30945.71910079475,1.9941077088136518,6.5472575912153435,0.048328035831497126,0.6294219258667209,0.8992202968093902,0.7458152827919818,4.948934625508972,0.8289573298405074,0.19554164207882083,True,0.2958931223008525,-3.7980283558605734,0.18884192397202337,-0.973812244094064,-5.401149411490008,False
7.932154293510215e-07,0.3812697941055561,0.20153995181015677,6.1423393218173235e-06,0.2630429248343141,0.03816594777646365,13221.181678037809,0.535461777886594,4.492569604450524,0.06042523661973263,0.5494668220195492,0.8061613559115385,0.4903267118700624,3.149196000387381,0.40733509115009775,0.12452184837985902,True,0.4645220911292257,-1.6303307249693102,0.314255188515543,-0.27191600898653334,-1.9809739963247397,False
2.547118398611987e-07,0.1624475660123407,0.19978418618892724,2.1638473243889885e-06,0.09381380614575979,0.01603939936533922,22676.03428616739,0.6559729606701461,1.9821240415242283,0.06444304073964359,1.547995786921049,0.6095106839131139,0.46313958896737273,2.565851357558696,0.6162911875590432,0.2470273869175867,True,0.4403722881249106,-1.1020960201017385,0.6865297707265317,0.512265464931645,-1.212771742027697,False
1.2750568132962307e-07,0.19644557322487757,0.1355987945557668,5.360384220178172e-05,0.2285049908921305,0.05402941966063767,12751.500998874124,0.7859040568396517,1.7695627498409823,0.0633703497309066,1.6760285518700495,0.6062736259613027,0.5178731570007584,4.403801873826218,0.10360929697769555,0.29323993987839114,True,0.4246420680648719,-1.9086411009481106,0.673419419047781,0.15413396921383582,-2.438319583357294,False
6.806382941543756e-07,0.35830142470160614,0.2768633042248629,1.1525130734912729e-05,0.141675239708189,0.015584707402705655,19204.79338302438,1.264707216809905,2.3322034532903277,0.052285472124801384,0.49231965307292846,0.796732251508055,0.15117623963296284,4.243820016733956,0.09594261416645886,0.11870323724845372,True,0.5578236357364339,-1.7966223678546465,0.39057214064867096,-0.7321045977113487,-2.137109916045536,False
1.4246680100700189e-07,0.14055746378919132,0.2782957221219116,4.9235463195370696e-05,0.19723090541499516,0.03510734232807787,42087.43349320098,1.2032561205351664,5.105870240832466,0.05034198415740876,0.4833132758330438,0.7890652534318219,0.6471810390803026,2.43857024570005,0.9555198720004678,0.10714877027679141,True,0.8569459167891407,-0.9198552287734763,0.7896147299432178,0.12360764352556286,-0.5228369263710737,False
2.9523889672181263e-07,0.1693218821064642,0.17904831155147402,1.6110323551871685e-06,0.09060987468988965,0.08667798951798919,24700.83064587301,0.7393235544155138,4.060685652598371,0.04554972531095009,0.1744433417734278,0.8286340965605059,0.9627459066643014,2.1665753686323637,0.8919075834931561,0.18719365706542027,True,0.8027704176722223,-7.805276932837119,0.7021299547760873,-0.8310654644610991,-10.905144981583456,True
5.042687814091704e-07,0.287426065879766,0.17239363841391772,6.361283139700394e-05,0.09921480651026302,0.050037768709768816,9790.370046123178,0.805849899134909,2.5862769150717946,0.041447246329529536,1.0877433767697375,0.5986575827534588,0.9405846340354175,4.889571026861587,0.1454548588284903,0.23764437415419615,True,0.8220564877743217,-0.25275936919550657,0.8435062535414835,0.559053962930741,0.44291743398106187,True
4.449157424800115e-07,0.2099101797161884,0.11939782194038787,2.6760420808178176e-06,0.14313171744382094,0.028637262947581874,25221.196877861155,1.12371642484585,3.9569870497525703,0.0480467463615957,0.5645509888755431,0.8008974851381727,0.730410297073218,3.18089958837443,0.559826310510121,0.3454595037319681,True,0.8346695070806114,-1.5589600996940631,0.6656939297997653,-0.18464072318482838,-1.503770642460483,False
3.1097899554417404e-07,0.293420915305431,0.19485424986457617,0.00035331158244210744,0.08676698305259839,0.0574416909121633,17675.652268129434,1.2296095230342972,1.147238122393307,0.04937422754231053,0.3354283939917511,0.5172942135265953,0.4149941105237548,2.6030324915989405,0.7342321729364313,0.34610296129442786,True,0.13382204675674592,-2.3725635206636917,0.5275121725642288,-0.10983798196502992,-3.425023234238792,False
3.862548062511926e-07,0.1212986873948874,0.2219266176601229,3.513823661981341e-05,0.06471221862218637,0.053796098899675134,13024.756741227056,0.9846975593324249,5.851135646824135,0.041529197870827386,0.06188923624389915,0.6559951659070229,0.37064719437243676,3.8008605698311206,0.16608436471911237,0.3226100242001295,True,0.8063362011496917,-43.97467179835122,0.7150720231759872,-1.5755122805620752,-65.15567149637714,False
1.2325600203522284e-07,0.2536266720029521,0.20654498358823892,9.40549262345571e-05,0.19009839669486062,0.029536107123960625,13267.172594451782,1.3364985931837499,7.644527214922145,0.06120627312223632,0.7600993688489277,0.6308356569229333,0.6285519499205874,3.0048208351439576,0.954551863607805,0.10182695593468674,True,0.6438973178971532,0.22698238296521356,0.7451522983054975,0.6735770769356387,0.9843708923449735,True
1.4828617928369473e-07,0.14470210844434986,0.2515116090957824,2.8236285559181456e-05,0.11036560126586047,0.055202050391935834,52529.98197732372,0.9516997271653169,5.354617214197834,0.059463844464048496,0.4128551004981631,0.6735563904048202,0.16953130844320258,3.786880086051595,0.518339964621752,0.3204148252210881,True,0.8462647504817178,-1.4331307649734808,0.7324226248204193,-0.4191966654678716,-1.3034313969785036,False
3.3632990726711234e-07,0.2459620141462733,0.17707377006844854,5.60484096273478e-06,0.2495030635458182,0.019183881855656656,24980.85776209824,1.4001427111100813,1.3633453294354447,0.051957443630208336,1.5265790206633116,0.7172166227627195,0.83048334509397,4.266392929323382,0.339014596842963,0.1633059065531515,True,0.378781505682361,-0.2489018764547728,0.5957330312407474,0.6140174344775666,0.005428691000201824,True
6.792870536136156e-07,0.2755871617472755,0.22233725402811166,8.186074894354372e-05,0.10537577729954833,0.027081060639038382,26451.101007208563,1.47720769988641,1.6405517892861399,0.0623323877186773,0.0534947926876199,0.6502058919990408,0.8371350733627536,3.4142010187464606,0.5197917394461973,0.10050382479003868,True,0.752289829840243,-24.50866689173575,0.7681718176738236,-1.8178788992134995,-36.010710507763385,False
3.215490743129003e-07,0.18850981099540265,0.28934181703825046,7.832555691331567e-05,0.15559527265593032,0.042683451208160396,9854.778550180556,1.589462820863191,5.372555282152819,0.06340278974689544,0.13394017168869474,0.7541056889455378,0.7920841083474213,2.3976514073207906,0.7360059612255441,0.24442059132447733,True,0.7788276020679553,-7.862673173924426,0.8350321855250872,-0.8856496368005733,-11.015182158818682,True
8.297721194887672e-07,0.14369132163097065,0.22286370149606727,1.6492040681737063e-05,0.07289262809436092,0.0389562989551817,10069.857923074733,1.6300259181883963,1.9681061104803304,0.04193540588406302,0.15706446695592013,0.6017227260342628,1.1306315605212351,4.347715953192253,0.801246171928943,0.25050526192112,True,0.680412653269333,-4.524811323395676,0.5752885471868006,-0.8650066516130592,-6.106804331824181,False
8.012852390879615e-07,0.11961298612891207,0.12873088722490178,0.00010023164671793243,0.1695828160003653,0.063073043917088,34625.996929797126,0.8638013109818624,5.110552131917245,0.0456232314118879,0.3333385658721934,0.9081070869145746,1.176805152479184,4.466220303665269,0.9884348255637128,0.114021120089045,True,0.7769313063968768,-3.6648128817689667,0.779780529375107,-0.9486683378962641,-4.720288016256573,False
2.2582108246957672e-07,0.08037105116489487,0.12999726380089488,0.00019341303649174612,0.22675746779973638,0.060505758271573416,26347.454708940342,1.1636297016270132,1.1699212682943119,0.05297204638572294,0.07845189835331128,0.7256835005665287,0.2957940546541563,4.597170151315618,0.31087945451835347,0.0884992880576321,True,0.15796193411069082,-21.302357624502218,0.565641091083885,-1.2890493999104886,-31.795574502642634,False
7.79498896086981e-07,0.33514453455115495,0.21356983953694464,5.0087990171241356e-05,0.08208059316573892,0.09930161219692649,53317.84337940422,1.5737884880247353,7.6317001274861695,0.06469877691857553,0.6251415104638852,0.6599147726776214,1.0498879918192061,3.683298814693212,0.819462997510083,0.030697287762160422,True,0.3327909360517569,-0.053581136838753984,0.4346599778861361,0.6039295298959912,0.25241923079362594,True
3.7833663404193e-07,0.12730179424779287,0.1385415523236633,1.9540885090685045e-05,0.1699257322614054,0.028874600965234847,9915.309697176897,1.9977413416513463,6.26039508970498,0.05150626722005362,0.3210376095710951,0.826241074694051,0.9244445593989844,3.8094961270590275,0.6265626207548004,0.20848588313549551,True,0.8410351938208871,-2.9582385236911297,0.8468790429487777,-0.9839357856029651,-3.5963225917158077,False
6.750387614174238e-07,0.17962512210425116,0.15355856965647352,3.0423622168539157e-07,0.23036676624277547,0.03578951538555594,8185.1112625183905,0.8368757688623392,4.980840262977702,0.04113506768123739,0.806965304565362,0.7251931855220943,0.903936234032302,2.3768347893555855,0.32468889368197246,0.33498506165087527,True,0.7110236683856295,-0.5889174891407059,0.5390472162892317,0.3188511510614719,-0.1723525653254293,False
4.253477306159574e-07,0.23085500857846494,0.09520620489162664,1.4399201030130672e-05,0.2874914377688341,0.01844932987434405,45130.78269542661,1.6133155489832087,7.655581580570551,0.06160020610557898,0.06468635322540219,0.902400537109963,0.8467969258723873,4.467625480403985,0.9693481785759522,0.25337834819920946,True,0.6775949983610553,-46.34927902103012,0.6731141605389674,-2.1780973471970637,-68.84632353318412,False
5.179273121865497e-07,0.10858911539184107,0.2697320057215839,0.0004177704722150083,0.11126756172959919,0.02549260885343048,9052.286274929751,1.7995944198971743,6.932576740633632,0.052313775234349075,0.9655902095424045,0.8779870375073515,0.6730801332743326,2.4998627556756863,0.897028771508932,0.13081273501914342,True,0.6016435768395171,-1.079753963714139,0.778135156345104,0.14863226614530434,-1.0179873687316912,False
1.6103696791478293e-07,0.1340685274704711,0.1798484771054211,1.6777894931950947e-07,0.2456566138942669,0.07486056119750858,58078.16312575811,1.0598502337703133,5.332107449592154,0.05377910186819433,0.21897208073644528,0.7611499674122513,0.6408417760231607,3.0209453211146244,0.02530748219679317,0.09156965437755901,True,0.6911540262537484,-4.395876395104877,0.5633471387838948,-0.7938035289693903,-5.902660566403567,False
8.816474263415112e-07,0.19265482578308554,0.21373148732830533,0.00011987814494717828,0.1277421282653548,0.01817334924987578,31645.48494128537,0.9709455645010149,6.535353788747727,0.047899038670807206,0.31597533890477886,0.5171833947707604,1.106459953668988,4.304521607358231,0.4998012883949628,0.046485137566078596,True,0.5620464973341605,-0.01204665832509888,0.6467690163358946,0.6178667308585426,0.5439765098465121,False
1.6531211609970217e-07,0.25476356202411443,0.28700987027830954,7.044539777776419e-07,0.14906486632917937,0.06439274252487821,33051.8111986397,1.7697876431351225,3.8156555014216718,0.042860504354272036,1.399612706018856,0.6829709513584212,0.7264308452112723,4.490033127442256,0.04844689083767075,0.07983654120089259,True,0.6539496683329434,-0.5736126101315686,0.5293039501085609,0.6903583428542658,-0.20646924686440948,True
1.3274908134670763e-07,0.3452986186302768,0.12114066778579516,1.9797628464953242e-07,0.24118729696578922,0.08072093855927892,58170.763522721514,0.5792744173230826,3.215666363036115,0.051550400627279155,0.6481182745539386,0.6069360749551855,0.7727369882767223,3.348915276857789,0.49196074221203834,0.19362662164946678,True,0.6830300866975534,-0.0674522400383919,0.7030196375383491,0.6137728425202775,0.5818517266399655,True
4.949613624699058e-07,0.1588211418006293,0.1050289648355543,7.957227221934302e-06,0.177706488011191,0.02351628871989742,12864.21395667545,1.0287240214400932,6.970548262943112,0.03753958473476311,0.2370616174281348,0.8510866836703683,1.1000590465830449,2.782063508898217,0.9445568838904695,0.2914515676196682,True,0.7066786919748578,-5.978060907312947,0.6103294888558692,-0.9302823656282662,-8.260412668994562,False
2.051571438364293e-07,0.15477077626489938,0.18121185384554983,4.450924489318554e-06,0.06764144663731267,0.027418370158415403,13972.140274154995,1.7541162926798406,3.862908281329546,0.057490058559923764,0.14899137800312232,0.5416851147249748,0.28909934891265565,4.056540244995773,0.728804241981987,0.045537727266137806,True,0.7134144012506569,-5.883427641181066,0.6013020097437879,-0.6346953773180748,-8.111727060520941,False
